File Name,File Size,Zipped File Size,Compression Ratio (Non-BWT Text),File Name,File Size,BWT Zipped File Size,Compression Ratio (BWT Text)
,10000,5190,1.926782274,,10000,5246,1.906214258
,10000,5194,1.925298421,,10000,5219,1.916075877
,10000,5210,1.919385797,,10000,5230,1.912045889
,10000,5199,1.923446817,,10000,5210,1.919385797
,10000,5194,1.925298421,,10000,5202,1.922337562
,10000,5216,1.917177914,,10000,5218,1.916443082
,10000,5185,1.928640309,,10000,5210,1.919385797
,10000,5177,1.93162063,,10000,5194,1.925298421
,10000,5192,1.926040062,,10000,5213,1.91828122
,10000,5203,1.921968095,,10000,5190,1.926782274
,10000,5196,1.924557352,,10000,5211,1.919017463
,10000,5213,1.91828122,,10000,5214,1.91791331
,10000,5221,1.915341889,,10000,5233,1.910949742
,10000,5194,1.925298421,,10000,5213,1.91828122
,10000,5218,1.916443082,,10000,5217,1.916810427
,10000,5205,1.921229587,,10000,5209,1.919754271
,10000,5194,1.925298421,,10000,5198,1.923816853
,10000,5211,1.919017463,,10000,5227,1.913143294
,10000,5184,1.929012346,,10000,5198,1.923816853
,10000,5185,1.928640309,,10000,5219,1.916075877
,10000,5195,1.924927815,,10000,5219,1.916075877
,10000,5214,1.91791331,,10000,5204,1.92159877
,10000,5211,1.919017463,,10000,5192,1.926040062
,10000,5210,1.919385797,,10000,5223,1.914608463
,10000,5228,1.912777353,,10000,5207,1.920491646
,10000,5183,1.929384526,,10000,5211,1.919017463
,10000,5198,1.923816853,,10000,5225,1.913875598
,10000,5197,1.924187031,,10000,5197,1.924187031
,10000,5205,1.921229587,,10000,5216,1.917177914
,10000,5208,1.920122888,,10000,5218,1.916443082
,10000,5205,1.921229587,,10000,5205,1.921229587
,10000,5196,1.924557352,,10000,5208,1.920122888
,10000,5186,1.928268415,,10000,5221,1.915341889
,10000,5191,1.926411096,,10000,5199,1.923446817
,10000,5198,1.923816853,,10000,5205,1.921229587
,10000,5214,1.91791331,,10000,5216,1.917177914
,10000,5219,1.916075877,,10000,5221,1.915341889
,10000,5203,1.921968095,,10000,5211,1.919017463
,10000,5197,1.924187031,,10000,5208,1.920122888
,10000,5182,1.929756851,,10000,5211,1.919017463
,15000,7706,1.946535167,,15000,7717,1.943760529
,15000,7705,1.9467878,,15000,7715,1.94426442
,15000,7715,1.94426442,,15000,7694,1.949571094
,15000,7711,1.945272987,,15000,7683,1.952362358
,15000,7699,1.948304975,,15000,7703,1.947293262
,15000,7694,1.949571094,,15000,7711,1.945272987
,15000,7708,1.946030099,,15000,7723,1.942250421
,15000,7711,1.945272987,,15000,7705,1.9467878
,15000,7710,1.945525292,,15000,7728,1.940993789
,15000,7715,1.94426442,,15000,7720,1.943005181
,15000,7709,1.945777662,,15000,7716,1.944012442
,15000,7675,1.954397394,,15000,7727,1.941244985
,15000,7701,1.947798987,,15000,7712,1.945020747
,15000,7699,1.948304975,,15000,7718,1.943508681
,15000,7731,1.94024059,,15000,7715,1.94426442
,15000,7728,1.940993789,,15000,7719,1.943256899
,15000,7708,1.946030099,,15000,7716,1.944012442
,15000,7697,1.948811225,,15000,7729,1.940742658
,15000,7692,1.950078003,,15000,7719,1.943256899
,15000,7699,1.948304975,,15000,7709,1.945777662
,15000,7702,1.947546092,,15000,7702,1.947546092
,15000,7698,1.948558067,,15000,7709,1.945777662
,15000,7713,1.944768573,,15000,7715,1.94426442
,15000,7700,1.948051948,,15000,7697,1.948811225
,15000,7685,1.951854262,,15000,7712,1.945020747
,15000,7711,1.945272987,,15000,7701,1.947798987
,15000,7701,1.947798987,,15000,7735,1.939237233
,15000,7701,1.947798987,,15000,7702,1.947546092
,15000,7716,1.944012442,,15000,7713,1.944768573
,15000,7721,1.942753529,,15000,7690,1.950585176
,15000,7710,1.945525292,,15000,7703,1.947293262
,15000,7703,1.947293262,,15000,7725,1.941747573
,15000,7701,1.947798987,,15000,7723,1.942250421
,15000,7719,1.943256899,,15000,7704,1.947040498
,15000,7723,1.942250421,,15000,7715,1.94426442
,15000,7700,1.948051948,,15000,7705,1.9467878
,15000,7703,1.947293262,,15000,7692,1.950078003
,15000,7710,1.945525292,,15000,7696,1.949064449
,15000,7683,1.952362358,,15000,7705,1.9467878
,15000,7668,1.956181534,,15000,7706,1.946535167
,15000,7693,1.949824516,,15000,7710,1.945525292
,15000,7705,1.9467878,,15000,7701,1.947798987
,15000,7670,1.955671447,,15000,7725,1.941747573
,15000,7708,1.946030099,,15000,7734,1.939487975
,15000,7712,1.945020747,,15000,7705,1.9467878
,15000,7725,1.941747573,,15000,7706,1.946535167
,15000,7684,1.952108277,,15000,7694,1.949571094
,15000,7697,1.948811225,,15000,7700,1.948051948
,15000,7701,1.947798987,,15000,7712,1.945020747
,15000,7710,1.945525292,,15000,7710,1.945525292
,15000,7687,1.951346429,,15000,7713,1.944768573
,15000,7703,1.947293262,,15000,7701,1.947798987
,15000,7699,1.948304975,,15000,7728,1.940993789
,15000,7686,1.951600312,,15000,7725,1.941747573
,15000,7718,1.943508681,,15000,7719,1.943256899
,15000,7681,1.95287072,,15000,7717,1.943760529
,15000,7662,1.957713391,,15000,7710,1.945525292
,15000,7686,1.951600312,,15000,7717,1.943760529
,15000,7700,1.948051948,,15000,7732,1.939989653
,15000,7704,1.947040498,,15000,7689,1.950838861
,15000,7705,1.9467878,,15000,7694,1.949571094
,15000,7710,1.945525292,,15000,7723,1.942250421
,15000,7705,1.9467878,,15000,7727,1.941244985
,15000,7703,1.947293262,,15000,7721,1.942753529
,15000,7706,1.946535167,,15000,7673,1.954906816
,15000,7694,1.949571094,,15000,7707,1.9462826
,15000,7702,1.947546092,,15000,7711,1.945272987
,15000,7696,1.949064449,,15000,7713,1.944768573
,15000,7700,1.948051948,,15000,7711,1.945272987
,15000,7696,1.949064449,,15000,7699,1.948304975
,15000,7713,1.944768573,,15000,7706,1.946535167
